name,addr,city,phone,type,cluster,postal,latlng
mesa grill,102 fifth ave.,new york city,212-807-7400,southwestern,47,10011,"(40.7370445, -73.9931189)"
mi cocina,57 jane st.  off hudson st.,new york,212/627-8273,mexican,48,10014,"(40.7382407, -74.0054136)"
mi cocina,57 jane st.,new york city,212-627-8273,mexican,48,10014,"(40.738226, -74.0053901)"
montrachet,239 w. broadway  between walker and white sts.,new york,212/ 219-2777,french,49,10013,"(40.7194746, -74.0057567)"
montrachet,239 w. broadway,new york city,212-219-2777,french bistro,49,10013,"(40.7194746, -74.0057567)"
oceana,55 e. 54th st.,new york,212/759-5941,seafood,50,10022,"(40.7602436, -73.9730857)"
oceana,55 e. 54th st.,new york city,212-759-5941,seafood,50,10022,"(40.7602436, -73.9730857)"
park avenue cafe,100 e. 63rd st.,new york,212/644-1900,american,51,10065,"(40.7650225, -73.9676044)"
park avenue cafe (new york city),100 e. 63rd st.,new york city,212-644-1900,american (new),51,10065,"(40.7650225, -73.9676044)"
petrossian,182 w. 58th st.,new york,212/245-2214,french,52,10019,"(40.7660491, -73.9794395)"
petrossian,182 w. 58th st.,new york city,212-245-2214,russian,52,10019,"(40.7660491, -73.9794395)"
picholine,35 w. 64th st.,new york,212/724-8585,mediterranean,53,10023,"(40.7720179, -73.98109749999999)"
picholine,35 w. 64th st.,new york city,212-724-8585,mediterranean,53,10023,"(40.7720179, -73.98109749999999)"
pisces,95 ave. a at 6th st.,new york,212/260-6660,seafood,54,10009,"(40.7256332, -73.984031)"
pisces,95 ave. a,new york city,212-260-6660,seafood,54,10009,"(40.7256613, -73.98408189999999)"
rainbow room,30 rockefeller plaza,new york,212/632-5000,or 212/632-5100 american,55,10111,"(40.7593755, -73.9799726)"
rainbow room,30 rockefeller plaza,new york city,212-632-5000,american (new),55,10111,"(40.7593755, -73.9799726)"
river cafe,1 water st. at the east river,brooklyn,718/522-5200,american,56,11201,"(40.703175, -73.99468999999999)"
river cafe,1 water st.,brooklyn,718-522-5200,american (new),56,11201,"(40.703175, -73.99468999999999)"
san domenico,240 central park s,new york,212/265-5959,italian,57,10019,"(40.7674484, -73.9811332)"
san domenico,240 central park s.,new york city,212-265-5959,italian,57,10019,"(40.7674484, -73.9811332)"
second avenue deli,156 2nd ave. at 10th st.,new york,212/677-0606,delicatessen,58,10003,"(40.7296096, -73.9867012)"
second avenue deli,156 second ave.,new york city,212-677-0606,delis,58,10003,"(40.7296096, -73.9867012)"
seryna,11 e. 53rd st.,new york,212/980-9393,asian,59,10022,"(40.7600551, -73.9745597)"
seryna,11 e. 53rd st.,new york city,212-980-9393,japanese,59,10022,"(40.7600551, -73.9745597)"
shun lee west,43 w. 65th st.,new york,212/371-8844,asian,60,10023,"(40.7729, -73.9813485)"
shun lee palace,155 e. 55th st.,new york city,212-371-8844,chinese,60,10022,"(40.7594346, -73.9690724)"
sign of the dove,1110 3rd ave. at 65th st.,new york,212/861-8080,american,61,10065,"(40.7656223, -73.9639146)"
sign of the dove,1110 third ave.,new york city,212-861-8080,american (new),61,10065,"(40.7656223, -73.9639146)"
smith & wollensky,201 e. 49th st.,new york,212/753-1530,american,62,10017,"(40.755156, -73.9707177)"
smith & wollensky,797 third ave.,new york city,212-753-1530,steakhouses,62,10022,"(40.7551704, -73.9707437)"
tavern on the green,in central park at 67th st.,new york,212/873-3200,american,63,10023,"(40.7730403, -73.97829449999999)"
tavern on the green,central park west,new york city,212-873-3200,american (new),63,,"(40.784612, -73.9698224)"
uncle nick's,747 9th ave.  between 50th and 51st sts.,new york,212/315-1726,mediterranean,64,10019,"(40.763835, -73.988912)"
uncle nick's,747 ninth ave.,new york city,212-245-7992,greek,64,10019,"(40.7638842, -73.9890016)"
union square cafe,21 e. 16th st.,new york,212/243-4020,american,65,10003,"(40.7368653, -73.99126199999999)"
union square cafe,21 e. 16th st.,new york city,212-243-4020,american (new),65,10003,"(40.7368653, -73.99126199999999)"
virgil's,152 w. 44th st.,new york,212/ 921-9494,american,66,10036,"(40.7567595, -73.9851662)"
virgil's real bbq,152 w. 44th st.,new york city,212-921-9494,bbq,66,10036,"(40.7567595, -73.9851662)"
chin's,3200 las vegas blvd. s,las vegas,702/733-8899,asian,67,89109,"(36.1275236, -115.1715003)"
chin's,3200 las vegas blvd. s.,las vegas,702-733-8899,chinese,67,89109,"(36.1275236, -115.1715003)"
coyote cafe,3799 las vegas blvd. s,las vegas,702/891-7349,southwestern,68,89109,"(36.1022507, -115.1699679)"
coyote cafe (las vegas),3799 las vegas blvd. s.,las vegas,702-891-7349,southwestern,68,89109,"(36.1022507, -115.1699679)"
le montrachet,3000 w. paradise rd.,las vegas,702/732-5111,continental,69,89109,"(36.1362611, -115.1512539)"
le montrachet bistro,3000 paradise rd.,las vegas,702-732-5651,french bistro,69,89109,"(36.1362611, -115.1512539)"
palace court,3570 las vegas blvd. s,las vegas,702/731-7547,continental,70,89109,"(36.1161559, -115.1750576)"
palace court,3570 las vegas blvd. s.,las vegas,702-731-7110,french (new),70,89109,"(36.1161559, -115.1750576)"
second street grille,200 e. fremont st.,las vegas,702/385-3232,seafood,71,89101,"(36.1709271, -115.1431516)"
second street grill,200 e. fremont st.,las vegas,702-385-6277,pacific rim,71,89101,"(36.1709271, -115.1431516)"
steak house,2880 las vegas blvd. s,las vegas,702/734-0410,steak houses,72,89109,"(36.13764159999999, -115.1653861)"
steak house  the,2880 las vegas blvd. s.,las vegas,702-734-0410,steakhouses,72,89109,"(36.13764159999999, -115.1653861)"
tillerman,2245 e. flamingo rd.,las vegas,702/731-4036,seafood,73,89119,"(36.114384, -115.1218936)"
tillerman  the,2245 e. flamingo rd.,las vegas,702-731-4036,steakhouses,73,89119,"(36.114384, -115.1218936)"
abruzzi,2355 peachtree rd.  peachtree battle shopping center,atlanta,404/261-8186,italian,74,30305,"(33.819818, -84.38664299999999)"
abruzzi,2355 peachtree rd. ne,atlanta,404-261-8186,italian,74,30305,"(33.8191662, -84.3875183)"
bacchanalia,3125 piedmont rd.  near peachtree rd.,atlanta,404/365-0410,international,75,30305,"(33.8420454, -84.369874)"
bacchanalia,3125 piedmont rd.,atlanta,404-365-0410,californian,75,30305,"(33.8420454, -84.369874)"
bone's,3130 piedmont road,atlanta,404/237-2663,american,76,30305,"(33.8421033, -84.3711029)"
bone's restaurant,3130 piedmont rd. ne,atlanta,404-237-2663,steakhouses,76,30305,"(33.8421033, -84.3711029)"
brasserie le coze,3393 peachtree rd.  lenox square mall  near neiman marcus,atlanta,404/266-1440,french,77,30326,"(33.8462019, -84.3638016)"
brasserie le coze,3393 peachtree rd.,atlanta,404-266-1440,french bistro,77,30326,"(33.846335, -84.3635778)"
buckhead diner,3073 piedmont road,atlanta,404/262-3336,american,78,30305,"(33.8394056, -84.36870359999999)"
buckhead diner,3073 piedmont rd.,atlanta,404-262-3336,american (new),78,30305,"(33.8394056, -84.36870359999999)"
ciboulette,1529 piedmont ave.,atlanta,404/874-7600,french,79,30324,"(33.7956505, -84.3688884)"
ciboulette restaurant,1529 piedmont ave.,atlanta,404-874-7600,french (new),79,30324,"(33.7956505, -84.3688884)"
delectables,1 margaret mitchell sq.,atlanta,404/681-2909,american,80,30327,"(33.8337386, -84.4358012)"
delectables,1 margaret mitchell sq.,atlanta,404-681-2909,cafeterias,80,30327,"(33.8337386, -84.4358012)"
georgia grille,2290 peachtree rd.  peachtree square shopping center,atlanta,404/352-3517,american,81,30309,"(33.8168776, -84.3905078)"
georgia grille,2290 peachtree rd.,atlanta,404-352-3517,southwestern,81,30309,"(33.8171632, -84.3900366)"
hedgerose heights inn,490 e. paces ferry rd.,atlanta,404/233-7673,international,82,30305,"(33.8387692, -84.37190679999999)"
hedgerose heights inn  the,490 e. paces ferry rd. ne,atlanta,404-233-7673,continental,82,30305,"(33.8387692, -84.37190679999999)"
heera of india,595 piedmont ave.  rio shopping mall,atlanta,404/876-4408,asian,83,30324,"(33.7983364, -84.3710444)"
heera of india,595 piedmont ave.,atlanta,404-876-4408,indian,83,30308,"(33.770298, -84.38112190000001)"
indigo coastal grill,1397 n. highland ave.,atlanta,404/876-0676,caribbean,84,30306,"(33.7924709, -84.3521099)"
indigo coastal grill,1397 n. highland ave.,atlanta,404-876-0676,eclectic,84,30306,"(33.7924709, -84.3521099)"
la grotta,2637 peachtree rd.  peachtree house condominium,atlanta,404/231-1368,italian,85,30305,"(33.8266717, -84.38693479999999)"
la grotta,2637 peachtree rd. ne,atlanta,404-231-1368,italian,85,30305,"(33.8266717, -84.38693479999999)"
mary mac's tea room,224 ponce de leon ave.,atlanta,404/876-1800,southern,86,30308,"(33.7728589, -84.37987799999999)"
mary mac's tea room,224 ponce de leon ave.,atlanta,404-876-1800,southern/soul,86,30308,"(33.7728589, -84.37987799999999)"
nikolai's roof,255 courtland st.  at harris st.,atlanta,404/221-6362,continental,87,30303,"(33.761546, -84.383562)"
nikolai's roof,255 courtland st.,atlanta,404-221-6362,continental,87,30303,"(33.761546, -84.383562)"
pano's and paul's,1232 w. paces ferry rd.,atlanta,404/261-3662,international,88,30327,"(33.8492913, -84.42808939999999)"
pano's & paul's,1232 w. paces ferry rd.,atlanta,404-261-3662,american (new),88,30327,"(33.8492913, -84.42808939999999)"
pano's & paul's,1232 west paces ferry rd nw,atlanta,404-261-3662,american (new),88,30327,"(33.8492913, -84.42808939999999)"
cafe  ritz-carlton  buckhead,3434 peachtree rd.,atlanta,404/237-2700,ext 6108 international,89,30326,"(33.8504884, -84.3636308)"
ritz-carlton cafe (buckhead),3434 peachtree rd. ne,atlanta,404-237-2700,american (new),89,30326,"(33.8504884, -84.3636308)"
dining room  ritz-carlton  buckhead,3434 peachtree rd.,atlanta,404/237-2700,international,90,30326,"(33.8504884, -84.3636308)"
ritz-carlton dining room (buckhead),3434 peachtree rd. ne,atlanta,404-237-2700,american (new),90,30326,"(33.8504884, -84.3636308)"
restaurant  ritz-carlton  atlanta,181 peachtree st.,atlanta,404/659-0400,continental,91,30303,"(33.75857209999999, -84.38718109999999)"
ritz-carlton restaurant,181 peachtree st.,atlanta,404-659-0400,french (classic),91,30303,"(33.75857209999999, -84.38718109999999)"
toulouse,b peachtree rd.,atlanta,404/351-9533,french,92,30326,"(33.8544526, -84.35839469999999)"
toulouse,293-b peachtree rd.,atlanta,404-351-9533,french (new),92,30303,"(33.7621776, -84.38750259999999)"
veni vidi vici,41 14th st.,atlanta,404/875-8424,italian,93,30309,"(33.7869457, -84.3887865)"
veni vidi vici,41 14th st.,atlanta,404-875-8424,italian,93,30309,"(33.7869457, -84.3887865)"
alain rondelli,126 clement st.,san francisco,415/387-0408,french,94,94118,"(37.7833153, -122.4606785)"
alain rondelli,126 clement st.,san francisco,415-387-0408,french (new),94,94118,"(37.7833153, -122.4606785)"
aqua,252 california st.,san francisco,415/956-9662,seafood,95,94111,"(37.7934609, -122.3996416)"
aqua,252 california st.,san francisco,415-956-9662,american (new),95,94111,"(37.7934609, -122.3996416)"
boulevard,1 mission st.,san francisco,415/543-6084,american,96,94105,"(37.79332, -122.392761)"
boulevard,1 mission st.,san francisco,415-543-6084,american (new),96,94105,"(37.79332, -122.392761)"
cafe claude,7 claude la.,san francisco,415/392-3505,french,97,94108,"(37.7903324, -122.404517)"
cafe claude,7 claude ln.,san francisco,415-392-3505,french bistro,97,94108,"(37.7903324, -122.404517)"
campton place,340 stockton st.,san francisco,415/955-5555,american,98,94108,"(37.7890965, -122.4065745)"
campton place,340 stockton st.,san francisco,415-955-5555,american (new),98,94108,"(37.7890965, -122.4065745)"
chez michel,804 northpoint,san francisco,415/775-7036,french,99,94109,"(37.805857, -122.420705)"
chez michel,804 north point st.,san francisco,415-775-7036,californian,99,94109,"(37.805857, -122.420705)"
fleur de lys,777 sutter st.,san francisco,415/673-7779,french,100,94109,"(37.7884349, -122.4131455)"
fleur de lys,777 sutter st.,san francisco,415-673-7779,french (new),100,94109,"(37.7884349, -122.4131455)"
fringale,570 4th st.,san francisco,415/543-0573,french,101,94107,"(37.7785416, -122.3971931)"
fringale,570 fourth st.,san francisco,415-543-0573,french bistro,101,94107,"(37.7785416, -122.3971931)"
hawthorne lane,22 hawthorne st.,san francisco,415/777-9779,american,102,94105,"(37.78545200000001, -122.399036)"
hawthorne lane,22 hawthorne st.,san francisco,415-777-9779,californian,102,94105,"(37.78545200000001, -122.399036)"
khan toke thai house,5937 geary blvd.,san francisco,415/668-6654,asian,103,94121,"(37.780077, -122.483303)"
khan toke thai house,5937 geary blvd.,san francisco,415-668-6654,thai,103,94121,"(37.780077, -122.483303)"
la folie,2316 polk st.,san francisco,415/776-5577,french,104,94109,"(37.7981417, -122.4220609)"
la folie,2316 polk st.,san francisco,415-776-5577,french (new),104,94109,"(37.7981417, -122.4220609)"
lulu,816 folsom st.,san francisco,415/495-5775,mediterranean,105,94107,"(37.7817926, -122.4018175)"
lulu restaurant-bis-cafe,816 folsom st.,san francisco,415-495-5775,mediterranean,105,94107,"(37.7817926, -122.4018175)"
masa's,648 bush st.,san francisco,415/989-7154,french,106,94108,"(37.7904165, -122.4080108)"
masa's,648 bush st.,san francisco,415-989-7154,french (new),106,94108,"(37.7904165, -122.4080108)"
mifune japan center  kintetsu building,1737 post st.,san francisco,415/922-0337,asian,107,94115,"(37.7852719, -122.4291175)"
mifune,1737 post st.,san francisco,415-922-0337,japanese,107,94115,"(37.7852719, -122.4291175)"
plumpjack cafe,3201 fillmore st.,san francisco,415/563-4755,mediterranean,108,94123,"(37.79911990000001, -122.4360911)"
plumpjack cafe,3127 fillmore st.,san francisco,415-563-4755,american (new),108,94123,"(37.79834090000001, -122.4359412)"
postrio,545 post st.,san francisco,415/776-7825,american,109,94102,"(37.78783320000001, -122.4107721)"
postrio,545 post st.,san francisco,415-776-7825,californian,109,94102,"(37.78783320000001, -122.4107721)"
ritz-carlton restaurant and dining room,600 stockton st.,san francisco,415/296-7465,american,110,94108,"(37.7918754, -122.4070392)"
ritz-carlton dining room (san francisco),600 stockton st.,san francisco,415-296-7465,french (new),110,94108,"(37.7918754, -122.4070392)"
rose pistola,532 columbus ave.,san francisco,415/399-0499,italian,111,94133,"(37.80007270000001, -122.4094286)"
rose pistola,532 columbus ave.,san francisco,415-399-0499,italian,111,94133,"(37.80007270000001, -122.4094286)"
adriano's ristorante,2930 beverly glen circle,los angeles,310/475-9807,italian,112,90077,"(34.127257, -118.443605)"
barney greengrass,9570 wilshire blvd.,beverly hills,310/777-5877,american,113,90212,"(34.0667493, -118.4026976)"
beaurivage,26025 pacific coast hwy.,malibu,310/456-5733,french,114,90265,"(34.03346630000001, -118.7420834)"
bistro garden,176 n. canon dr.,los angeles,310/550-3900,californian,115,90210,"(34.0676709, -118.3975518)"
border grill,4th st.,los angeles,310/451-1655,mexican,116,,"(34.0557304, -118.2581762)"
broadway deli,3rd st. promenade,santa monica,310/451-0616,american,117,90401,"(34.0164013, -118.4968895)"
ca'brea,346 s. la brea ave.,los angeles,213/938-2863,italian,118,90036,"(34.0674961, -118.3436849)"
ca'del sol,4100 cahuenga blvd.,los angeles,818/985-4669,italian,119,91602,"(34.1439588, -118.3611242)"
cafe pinot,700 w. fifth st.,los angeles,213/239-6500,californian,120,90071,"(34.0510388, -118.2557575)"
california pizza kitchen,207 s. beverly dr.,los angeles,310/275-1101,californian,121,90212,"(34.0647384, -118.3993623)"
canter's,419 n. fairfax ave.,los angeles,213/651-2030.,american,122,90036,"(34.0787779, -118.3618587)"
cava,3rd st.,los angeles,213/658-8898,mediterranean,123,,"(34.0090307, -118.4881742)"
cha cha cha,656 n. virgil ave.,los angeles,213/664-7723,caribbean,124,90004,"(34.0834209, -118.286624)"
chan dara,310 n. larchmont blvd.,los angeles,213/467-1052,asian,125,90004,"(34.076589, -118.3233188)"
